no,len2
25,23.36
25,23.23
25,23.15
25,23.15
25,22.62
25,22.32
25,22.15
25,22.12
25,22.11
25,22.1
25,21.62
25,21.51
25,21.46
25,20.87
25,20.86
25,20.79
25,20.68
25,20.53
25,20.41
25,20.31
25,20.29
25,20.27
25,20.13
25,19.91
25,19.83
25,19.75
25,19.65
25,19.62
25,19.58
25,19.53
25,19.53
25,19.46
25,19.41
25,19.25
25,19.24
25,19.23
25,19.23
25,19.19
25,19.16
25,19.1
25,19.1
25,18.99
25,18.93
25,18.83
25,18.74
25,18.65
25,18.58
25,18.5
25,18.48
25,18.29
25,18.28
25,18.27
25,18.18
25,18.15
25,17.9
25,17.87
25,17.84
25,17.76
25,17.52
26,27.74
26,26.87
26,26.85
26,26.78
26,26.73
26,26.65
26,26.39
26,25.93
26,25.83
26,24.98
26,24.71
26,24.58
26,24.39
26,24.18
26,23.6
26,23.58
26,23.53
26,23.4
26,22.7
26,21.91
26,21.9
26,20.93
26,20.93
26,20.82
26,20.8
26,20.55
26,20.44
26,20.41
26,20.39
26,20.33
26,20.1
26,19.99
26,19.82
26,19.7
26,19.66
26,19.59
26,19.34
26,18.93
26,18.8
26,18.65
26,18.64
26,18.25
26,18.23
26,18.04
26,18.03
26,18
26,17.98
26,17.88
26,17.87
26,17.86
26,17.75
26,17.74
26,17.48
26,17.42
26,17.09
26,17.06
26,16.91
26,16.78
26,16.74
26,16.63
26,16.47
26,16.45
26,16.45
26,16.45
26,16.38
26,16.03
26,16.01
27,28.69
27,28.4
27,28.14
27,27.74
27,27.5
27,26.54
27,26.38
27,26.23
27,26.23
27,25.94
27,25.13
27,24.93
27,24.86
27,24.32
27,24.01
27,23.99
27,23.96
27,23.8
27,23.33
27,23.3
27,22.96
27,22.69
27,22.63
27,22.34
27,22.33
27,22.09
27,21.73
27,21.35
27,21.28
27,21.03
27,20.78
27,20.58
27,20.51
27,20.39
27,20.22
27,20.06
27,19.8
27,19.79
27,19.76
27,19.7
27,19.7
27,19.58
27,19.36
27,19.29
27,18.94
27,18.4
27,18.16
27,17.94
27,17.9
27,17.6
27,17.52
27,17.43
27,17.21
27,17.04
27,17.01
27,16.78
27,16.7
28,28.02
28,27.17
28,27.08
28,27.07
28,26.45
28,25.68
28,25.68
28,23.95
28,23.89
28,23.69
28,23.66
28,23.22
28,22.91
28,22.58
28,22.55
28,22.55
28,22.41
28,22.4
28,22.27
28,21.98
28,21.44
28,20.92
28,20.86
28,20.82
28,20.76
28,20.1
28,19.62
28,19.54
28,19.52
28,18.8
28,18.8
28,18.8
28,18.8
28,18.65
28,18.53
28,17.85
28,17.72
28,17.7
28,16.98
28,16.96
28,16.86
28,16.78
28,16.47
28,16.44
29,28.68
29,28.37
29,27.68
29,27.5
29,27.07
29,26.7
29,26.62
29,26.5
29,26.2
29,26.19
29,24.89
29,24.41
29,24.24
29,24.11
29,23.27
29,22.84
29,22.56
29,22.56
29,22.1
29,21.85
29,21.57
29,21.49
29,21.49
29,21.41
29,21.02
29,21
29,20.96
29,20.88
29,20.74
29,20.74
29,20.56
29,20.56
29,20.54
29,20.41
29,20.2
29,20.12
29,20.06
29,20.02
29,19.92
29,19.89
29,19.86
29,19.84
29,19.7
29,19.67
29,19.59
29,19.54
29,19.41
29,19.34
29,19.05
29,18.97
29,18.79
29,18.62
29,18.59
29,18.3
29,18.27
29,18.24
29,18.24
29,17.56
29,17.42
29,17.4
29,17.29
29,17.26
29,17.01
29,16.89
30,27.48
30,27.37
30,25.16
30,24.71
30,24.01
30,23.5
30,23.05
30,22.85
30,22.49
30,22.12
30,21.89
30,21.7
30,21.49
30,21.26
30,20.93
30,20.78
30,20.75
30,20.58
30,20.28
30,20.17
30,20.09
30,19.95
30,19.91
30,19.67
30,19.67
30,19.5
30,19.49
30,19.3
30,19.23
30,19.18
30,19
30,18.96
30,18.91
30,18.88
30,18.61
30,18.49
30,18.48
30,18.45
30,18.44
30,18.37
30,18.36
30,18.32
30,18.3
30,18.3
30,18.26
30,17.96
30,17.91
30,17.91
30,17.91
30,17.91
30,17.91
30,17.73
30,17.6
30,17.54
30,17.48
30,17.39
30,17.15
